High,Low,Actual,Instrument,Volume,UsdVolume,OpenInterest,Change,BestBid,BestBidSize,BestAsk,BestAskSize,Timestamp,TradeTimestamp
1928.21,1836.94,1904.72,ETH_USDT,6114.5222,11558855.82,0,0.0304,1904.63,0.0003,1905.02,0.0078,2023-05-29 06:06:29.5586477,1685340388556
1928.21,1836.94,1905.02,ETH_USDT,6114.5223,11558856.01,0,0.0306,1904.63,0.0003,1905.02,0.0078,2023-05-29 06:06:29.7396222,1685340388904
1928.21,1836.94,1904.87,ETH_USDT,6114.3609,11558557.52,0,0.0304,1904.63,0.0003,1905.09,0.0076,2023-05-29 06:07:08.6314754,1685340428500
1928.21,1836.94,1904.86,ETH_USDT,6114.361,11558557.71,0,0.0304,1904.64,0.2624,1905.09,0.0076,2023-05-29 06:07:15.885908,1685340435754
1928.21,1836.94,1904.64,ETH_USDT,6114.371,11558576.77,0,0.0303,1904.65,0.0001,1905.07,0.2853,2023-05-29 06:07:16.6612618,1685340436530
1928.21,1836.94,1904.59,ETH_USDT,6114.381,11558595.82,0,0.0302,1904.59,0.0404,1904.88,0.2854,2023-05-29 06:07:23.1084627,1685340442977
1928.21,1836.94,1903.83,ETH_USDT,6134.408,11596748.2,0,0.0298,1903.96,2.1008,1904.52,0.2854,2023-05-29 06:07:44.8900787,1685340464759
1928.21,1836.94,1903.68,ETH_USDT,6131.7278,11591791.2,0,0.03,1903.23,0.1368,1903.89,0.3904,2023-05-29 06:08:30.5619742,1685340510422
1928.21,1836.94,1903.85,ETH_USDT,6131.7279,11591791.39,0,0.0301,1903.12,0.2624,1903.85,0.0078,2023-05-29 06:08:40.059215,1685340519929
1928.21,1836.94,1903.65,ETH_USDT,6130.9421,11590338.42,0,0.0299,1903.15,0.0001,1903.65,0.0077,2023-05-29 06:09:02.242685,1685340542111
1928.21,1836.94,1903.2,ETH_USDT,6130.9518,11590356.89,0,0.0297,1903.14,0.0003,1903.7,0.1128,2023-05-29 06:09:08.9809626,1685340548851
1928.21,1836.94,1903.14,ETH_USDT,6130.9521,11590357.46,0,0.0296,1902.8,2.1021,1903.37,0.25,2023-05-29 06:09:23.6283127,1685340563499
1928.21,1836.94,1903.22,ETH_USDT,6130.9522,11590357.65,0,0.0297,1902.59,0.05,1903.22,0.2854,2023-05-29 06:09:33.3269132,1685340573196
1928.21,1836.94,1903.05,ETH_USDT,6130.0647,11588716.53,0,0.0298,1902.41,0.0006,1903.05,0.2854,2023-05-29 06:10:08.6447199,1685340608515
1928.21,1836.94,1902.92,ETH_USDT,6130.0756,11588737.28,0,0.0298,1902.41,0.0006,1902.92,0.5276,2023-05-29 06:10:19.2279716,1685340619098
1928.21,1836.94,1902.93,ETH_USDT,6131.0756,11590640.97,0,0.0298,1902.64,0.05,1903.21,0.25,2023-05-29 06:10:20.0622531,1685340619933
1928.21,1836.94,1902.86,ETH_USDT,6131.0757,11590641.16,0,0.0297,1902.86,0.0078,1903.17,0.2776,2023-05-29 06:10:39.9285121,1685340639799
1928.21,1836.94,1902.83,ETH_USDT,6130.6567,11589866.92,0,0.0296,1902.82,0.1577,1903,0.0078,2023-05-29 06:11:09.2539031,1685340669124
1928.21,1836.94,1902.82,ETH_USDT,6130.7067,11589962.1,0,0.0296,1902.82,0.1577,1903,0.0078,2023-05-29 06:11:09.639586,1685340669510
1928.21,1836.94,1903.23,ETH_USDT,6131.7047,11591862.26,0,0.0298,1902.83,0.1892,1903.23,0.0078,2023-05-29 06:11:12.7006082,1685340672572
1928.21,1836.94,1902.82,ETH_USDT,6131.7048,11591862.45,0,0.0296,1902.82,0.1077,1903.23,0.0078,2023-05-29 06:11:24.777028,1685340684648
1928.21,1836.94,1903.61,ETH_USDT,6131.7776,11592001.09,0,0.03,1903.24,0.05,1903.75,0.2776,2023-05-29 06:11:29.0241379,1685340688895
